upazila_name,district,mean,min,max,std
Upazila_1_0,Sylhet,0.8463998436927795,0.6391533017158508,0.9745020866394043,0.06615382432937622
Upazila_1_1,Sylhet,0.7839476466178894,0.5762996077537537,0.9568617343902588,0.06757330149412155
Upazila_2_0,Sylhet,0.7477585673332214,0.5758349895477295,0.9348423480987549,0.0678509846329689
Upazila_0_0,Sylhet,0.7159501910209656,0.5350787043571472,0.8377594351768494,0.05037257447838783
Upazila_2_1,Sylhet,0.7149862051010132,0.6088064908981323,0.8632646799087524,0.0356668196618557
Upazila_0_1,Sylhet,0.6759396195411682,0.4790593385696411,0.845250129699707,0.050488416105508804
Upazila_3_0,Sylhet,0.6687862277030945,0.48309311270713806,0.7771006226539612,0.029953621327877045
Upazila_3_1,Sylhet,0.6675925850868225,0.48309311270713806,0.7637742161750793,0.03363623842597008
Upazila_1_2,Sylhet,0.646668553352356,0.32298022508621216,0.8817117214202881,0.11069002002477646
Upazila_2_2,Sylhet,0.6333577632904053,0.3345327377319336,0.7742262482643127,0.07445380091667175
Upazila_3_2,Sylhet,0.6326457262039185,0.4119073450565338,0.7572878003120422,0.0462021678686142
Upazila_0_2,Sylhet,0.5701439380645752,0.2907402515411377,0.8682003021240234,0.11858471482992172
